,Unnamed: 0,created_at,temp,hum,p25,p10
250484,250765,2019-12-27 22:19:09,22.7,85.9,161.0,227.60001
250524,250805,2019-12-27 22:21:55,22.8,85.8,160.10001,234.89999
250559,250840,2019-12-27 22:24:23,22.9,85.6,160.60001,235.39999
250566,250847,2019-12-27 22:24:53,22.9,85.6,162.8,227.8
250581,250862,2019-12-27 22:25:55,23.1,85.7,159.8,233.7
250584,250865,2019-12-27 22:26:08,22.9,85.6,160.0,233.7
250591,250872,2019-12-27 22:26:37,22.8,85.4,163.0,238.10001
250603,250884,2019-12-27 22:27:27,22.8,85.5,160.5,237.10001
250612,250893,2019-12-27 22:28:04,22.8,85.4,160.89999,238.39999
250613,250894,2019-12-27 22:28:08,22.8,85.4,161.3,238.2
250664,250945,2019-12-27 22:31:41,22.7,85.9,156.8,228.5
250688,250969,2019-12-27 22:33:20,22.7,85.9,155.7,229.3
250689,250970,2019-12-27 22:33:25,22.7,85.9,155.8,230.89999
250691,250972,2019-12-27 22:33:33,22.7,85.9,158.10001,236.5
250743,251024,2019-12-27 22:37:09,22.6,86.4,153.7,220.89999
250776,251057,2019-12-27 22:39:26,22.4,86.6,155.2,225.39999
250783,251064,2019-12-27 22:39:56,22.5,86.8,155.8,227.60001
250784,251065,2019-12-27 22:40:00,22.5,86.8,155.89999,230.60001
250786,251067,2019-12-27 22:40:08,22.5,86.8,154.5,227.7
250859,251140,2019-12-27 22:45:12,22.6,86.2,153.3,225.3
250999,251280,2019-12-27 22:54:55,22.6,85.2,149.3,222.5
251000,251281,2019-12-27 22:54:59,22.7,85.2,149.0,221.5
251002,251283,2019-12-27 22:55:07,22.6,85.2,149.10001,222.5
251144,251425,2019-12-27 23:04:59,22.5,85.7,146.3,215.7
251178,251459,2019-12-27 23:07:21,22.4,85.2,148.10001,220.60001
251227,251508,2019-12-27 23:10:46,22.5,84.6,142.2,213.89999
251585,251866,2019-12-27 23:35:36,22.1,83.8,130.3,195.89999
254897,255178,2019-12-28 03:25:54,20.4,77.1,87.8,144.5
255240,255521,2019-12-28 03:49:43,20.1,75.9,77.9,134.10001
256244,256525,2019-12-28 04:59:33,19.8,75.5,78.6,133.89999
