created_at,temp,hum,p25,p10
NaT,28.2,68.1,59.1,69
NaT,28.2,70.6,54,70.4
NaT,28.1,70.8,52.7,60.7
NaT,28.3,71.1,52.5,58.8
NaT,28.3,73.4,49.4,55.5
NaT,27.9,73.2,52.5,58.8
NaT,28.2,73.6,52.5,58.8
NaT,28.1,73.5,52.7,62.2
NaT,28.1,73.7,52,60.9
NaT,27.9,73.6,49.4,55.5
NaT,28.2,74.4,61.2,69.2
NaT,28.1,74.3,63.9,86.4
NaT,27.8,75,75.5,84.8
NaT,27.7,74.5,125,157.5
NaT,27.7,74.5,122.2,148
NaT,28,68.5,115.1,137.39999
NaT,27.9,68.2,110.1,124.6
NaT,27.9,68,111.1,126.7
NaT,28,65.2,108.5,128.5
NaT,28,65.3,107.9,132.7
NaT,27.9,62.8,112.1,136.10001
NaT,27.9,63,109.2,136.10001
NaT,27.9,62,109.6,137.60001
NaT,27.7,62.4,105.1,131.2
NaT,27.8,61,97.9,117.6
NaT,27.8,61,100.5,119.1
NaT,27.7,59.5,91.3,111.7
NaT,26.7,66.5,108.4,148.7
NaT,26.8,70,107.7,168.2
NaT,26.8,70.2,109.6,179.3
NaT,27.1,75.4,53.1,59.6
NaT,27.1,75.6,53.5,62.7
NaT,27.1,75.7,53.3,61.3
NaT,27.1,75.9,52.6,59.6
NaT,26.9,75.9,53.3,60.2
NaT,26.9,77,48.6,66.2
NaT,26.8,75.3,73.6,96.5
NaT,26.8,76.1,64.8,79.8
NaT,26.8,75.4,76,99
NaT,26.8,75.4,78.1,99.9
NaT,26.8,75.6,76.3,98.8
NaT,27,75.3,84.6,109.1
NaT,26.9,76.1,95.8,160.7
NaT,26.9,69,86.5,120
NaT,28.8,52.2,26.5,59.3
NaT,28.6,53.9,28.6,51.1
NaT,28.6,53.4,29.2,49.6
NaT,27.9,43.2,0.1,0.1
NaT,28.3,43.7,0.1,0.1
NaT,28.4,43.8,0.1,0.1
NaT,28.4,43.7,4.7,7.1
NaT,28.4,43.8,7.9,10.3
NaT,28.4,44,10.9,13.9
NaT,28.4,43.9,15.4,18.8
NaT,28.4,43.8,20.8,24.3
NaT,28.4,43.7,26.9,30.9
NaT,30.1,39.8,48.3,85.2
NaT,30.1,39.8,48.6,87
NaT,30.1,40,50,82.4
NaT,30.1,39.8,50.8,83
NaT,30.1,40,50.7,83.3
NaT,30.3,38.7,50.2,91.3
NaT,30.3,38.8,49.8,90.8
NaT,30.3,38.8,50.2,90.9
NaT,30.3,38.8,49.1,86.4
NaT,30.3,38.8,49.2,86.2
NaT,30.3,38.8,49.4,85.7
NaT,30.3,38.9,50.6,85.1
NaT,30.2,39,49.3,84.7
NaT,30.2,39.1,49.5,88.6
NaT,30.2,39.1,49.6,87.8
NaT,31.2,37.1,54.2,96.1
NaT,31.2,37.1,55.3,112
NaT,31.2,37.1,55,112.9
NaT,31.2,37.4,55,116.3
NaT,31.2,37.4,54.6,117.8
NaT,31.2,37.4,54,122
NaT,31.2,37.3,53.8,119.4
NaT,31.2,37.3,53.4,106
NaT,24.1,71.3,0.1,0.1
NaT,24.1,71.9,0.1,0.1
NaT,24.1,71.9,0.1,0.1
NaT,24.1,72,0.1,0.1
NaT,24.1,72,0.1,0.1
NaT,24.1,72,0.1,0.1
NaT,24.1,72.2,0.1,0.1
NaT,24.1,72.2,0.1,0.1
NaT,24.1,72.2,0.1,0.1
NaT,24.1,72.2,0.1,0.1
NaT,24.2,73.8,0,0
NaT,23.9,72.4,0.1,0.1
NaT,23.5,74.4,0.1,0.1
NaT,24.1,72.6,0.1,0.1
NaT,24.1,72.6,0.1,0.1
NaT,24.1,72.6,0.1,0.1
NaT,24.1,72.6,0.1,0.1
NaT,24,72.5,0.1,0.1
NaT,24,72.4,0.1,0.1
